Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::push	0.024554	0.024554	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::push(std::pair<float, unsigned int>&&)	stl_queue.h	0x140003243
__gnu_cxx::operator-<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>	0.023668	0.023668	0.0	0.0	vtune_bench.exe	__gnu_cxx::operator-<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>(__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>> const&, __gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>> const&)	stl_iterator.h	0x1400034e4
_Z16_mm256_storeu_psPfDv8_f	0.022403	0.022403	0.0	0.0	vtune_bench.exe	_Z16_mm256_storeu_psPfDv8_f	avxintrin.h	0x140009a2e
_mm256_loadu_ps	0.019897	0.019897	0.0	0.0	vtune_bench.exe	_mm256_loadu_ps(float const*)	avxintrin.h	0x140009c00
_mm_hadd_ps	0.015372	0.015372	0.0	0.0	vtune_bench.exe	_mm_hadd_ps(, void, _fS_)	pmmintrin.h	0x14000382b
std::less<std::pair<float, unsigned int>>::operator()	0.015240	0.015240	0.0	0.0	vtune_bench.exe	std::less<std::pair<float, unsigned int>>::operator()(std::pair<float, unsigned int> const&, std::pair<float, unsigned int> const&) const	stl_function.h	0x140002e40
_Z21_mm256_extractf128_psDv8_fi	0.015156	0.015156	0.0	0.0	vtune_bench.exe	_Z21_mm256_extractf128_psDv8_fi	avxintrin.h	0x1400033dc
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+	0.015066	0.015066	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long long) const	stl_iterator.h	0x1400017e6
func@0x3be9792f8	0.014445	0.014445	0.0	0.0	libstdc++-6.dll	func@0x3be9792f8	[Unknown]	0x3be9792f8
_mm256_broadcastsi128_si256	0.014202	0.014202	0.0	0.0	vtune_bench.exe	_mm256_broadcastsi128_si256(, void, _x)	avx2intrin.h	0x140002049
_mm256_and_si256	0.013842	0.013842	0.0	0.0	vtune_bench.exe	_mm256_and_si256(, void, _xS_)	avx2intrin.h	0x140001fb2
ann_avx2::dot_sub_avx2	0.013831	0.013831	0.0	0.0	vtune_bench.exe	ann_avx2::dot_sub_avx2(float const*, float const*, int)	pq_scan_avx2.h	0x14000379c
_Z18_mm256_loadu_si256PKDv4_x	0.013796	0.013796	0.0	0.0	vtune_bench.exe	_Z18_mm256_loadu_si256PKDv4_x	avxintrin.h	0x140002040
_Z13_mm256_sub_psDv8_fS_	0.013682	0.013682	0.0	0.0	vtune_bench.exe	_Z13_mm256_sub_psDv8_fS_	avxintrin.h	0x140009c00
build_lut_u8	0.013351	0.013351	0.0	0.0	vtune_bench.exe	build_lut_u8	pq_fastscan_avx2_safe.h	0x140001d83
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::push	0.013214	0.013214	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::push(std::pair<float, unsigned int>&&)	stl_queue.h	0x140002d48
_mm256_adds_epu8	0.013076	0.013076	0.0	0.0	vtune_bench.exe	_mm256_adds_epu8(, void, _xS_)	avx2intrin.h	0x140002070
memcpy	0.012398	0.012398	0.0	0.0	msvcrt.dll	memcpy	[Unknown]	0x18007b180
std::vector<float, std::allocator<float>>::~vector	0.012358	0.012358	0.0	0.0	vtune_bench.exe	std::vector<float, std::allocator<float>>::~vector(void)	stl_vector.h	0x1400067f6
_Z15_mm256_fmadd_psDv8_fS_S_	0.012308	0.012308	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140009c19
_Z21_mm256_extractf128_psDv8_fi	0.012204	0.012204	0.0	0.0	vtune_bench.exe	_Z21_mm256_extractf128_psDv8_fi	avxintrin.h	0x14000224c
_mm256_shuffle_epi8	0.012114	0.012114	0.0	0.0	vtune_bench.exe	_mm256_shuffle_epi8(, void, _xS_)	avx2intrin.h	0x14000205e
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop	0.012054	0.012054	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop(void)	stl_queue.h	0x140002d90
ann_pq_blocked_avx2::build_soa_from_aos	0.011867	0.011867	0.0	0.0	vtune_bench.exe	ann_pq_blocked_avx2::build_soa_from_aos(float const*, int, int, int, float*)	pq_blocked_avx2.h	0x140009176
_mm256_broadcastsi128_si256	0.011847	0.011847	0.0	0.0	vtune_bench.exe	_mm256_broadcastsi128_si256(, void, _x)	avx2intrin.h	0x140002040
_mm256_shuffle_epi8	0.011775	0.011775	0.0	0.0	vtune_bench.exe	_mm256_shuffle_epi8(, void, _xS_)	avx2intrin.h	0x140002067
ann_fs::fs_ip_distance	0.010574	0.010574	0.0	0.0	vtune_bench.exe	ann_fs::fs_ip_distance(float const*, float const*, unsigned long long)	pq_fastscan_avx2_safe.h	0x1400021b4
_Z14_mm256_hadd_psDv8_fS_	0.009918	0.009918	0.0	0.0	vtune_bench.exe	_Z14_mm256_hadd_psDv8_fS_	avxintrin.h	0x1400037fe
